Solution,Cosine,BERT,File
Baseline,0.9146387717346331,0.9370640516281128,10_HBMS.docx
Baseline,0.9026000247208305,0.9223384857177734,07_OTS.docx
Baseline,0.8995263850108137,0.928364872932434,06_SHAS.docx
Baseline,0.8569991218656097,0.781459629535675,01_BTMS.docx
Baseline,0.9592089850693314,0.9491949677467346,03_LabTracker.docx
Baseline,0.9176014431602274,0.9438562393188475,04_CelO.docx
Baseline,0.5079556543084481,0.7600216865539551,09_TileO.docx
Baseline,0.484621796470529,0.7401731610298157,02_H2S.docx
Baseline,0.8621103564965547,0.9336299896240234,05_TSS.docx
Baseline,0.8051082825212634,0.7704011797904968,08_Block.docx
